Hashtag: #mindfulness
User that used the hashtag, Number of followers
thecrowdview, 3162
olidboli, 37
Nature_Babies, 5
EstargoLouie, 43
EstargoLouie, 43
HealthSuperhero, 23
DrRomie, 37312
